station/location,date,gre000d0,hto000d0,nto000d0,prestad0,rre150d0,sre000d0,tre200d0,tre200dn,tre200dx,ure200d0
BER,20220101,76,0,-,962.3,0,465,3.3,-1.6,11.9,88.4
BER,20220102,41,0,-,958.6,0,93,4.7,-2.7,10.9,79.8
BER,20220103,34,0,-,954.3,1.7,16,9.8,7.7,11.9,66.6
BER,20220104,40,0,-,939.4,16.2,10,10.8,4.8,14.7,68.6
BER,20220105,37,0,-,946.5,1.1,63,1.1,-1.5,4.8,79.5
BER,20220106,41,0,-,953.7,0,20,-0.4,-4.7,2.5,79
BER,20220107,34,0,-,954.1,2.6,70,-1.2,-4.5,0.9,85.6
BER,20220108,45,4,-,948,3.1,9,1.5,-0.9,3.1,84.6
BER,20220109,27,0,-,941.8,2.2,1,2,0,3.8,87.8
BER,20220110,68,0,-,953.2,0,270,0.3,-2.7,2.9,91.3
BER,20220111,36,0,-,962.5,0,114,0.6,-0.7,2.4,78.9
BER,20220112,81,0,-,968.2,0,382,-1.3,-4.1,1,75.2
BER,20220113,88,0,-,970.7,0,471,-2.8,-5.4,0.6,82.7
BER,20220114,80,0,-,968,0,407,-2.7,-6.6,3,87.6
BER,20220115,80,0,-,961,0,387,-2.5,-6.1,3.2,92.1
BER,20220116,62,0,-,963.1,0,239,-2.7,-4.8,1.5,94.9
BER,20220117,88,0,-,968.5,0,488,1,-3.2,6,82
BER,20220118,87,0,-,967,0,478,0.1,-3.8,4.3,87.3
BER,20220119,43,0,-,962.8,0,68,0.7,-2.4,3.2,83.3
BER,20220120,30,0,-,962,0,6,1.3,0,3.7,76.3
BER,20220121,93,0,-,965.3,0,477,-0.9,-3.2,2.2,67.2
BER,20220122,86,0,-,966.7,0,378,-0.7,-5.4,4.6,74.9
BER,20220123,102,0,-,965.8,0,497,-1,-5.4,3,85.8
BER,20220124,51,0,-,965.8,0,168,-0.8,-3.5,1.5,87.7
BER,20220125,64,0,-,966.7,0,217,-2.2,-3.8,1.8,95
BER,20220126,54,0,-,965.6,0,23,-3.2,-5.5,-0.3,97.9
BER,20220127,91,0,-,964.4,0,374,-2.2,-5.2,1.7,93.2
BER,20220128,105,0,-,968.3,0,511,1.4,-2.8,7.3,85.1
BER,20220129,102,0,-,967,0,443,2.6,-3.4,8.8,67.8
BER,20220130,94,0,-,962.8,0,357,3.6,-2.3,9.1,74.3
BER,20220131,25,0,-,954,5.1,1,1.6,-2.5,4.2,82.5
BER,20220201,36,3,-,958.6,0.4,0,1.6,0.1,4.3,76.7
BER,20220202,15,0,-,958.3,0.7,0,5.1,1.1,7.3,87.2
BER,20220203,68,0,-,955,0,46,2.4,-0.8,5.4,95.2
BER,20220204,105,0,-,953,0.2,393,3.5,-2.6,8.1,83.8
BER,20220205,120,0,-,958.9,0,517,3.2,-2.4,7.8,71.1
BER,20220206,60,0,-,955.9,8.7,169,2.8,-4.5,6,74.4
BER,20220207,126,0,-,960.4,0,541,2.8,-3,6.3,67.6
BER,20220208,124,0,-,967.3,0,546,0.8,-4.5,8.6,73.9
BER,20220209,129,0,-,963.8,0,550,1.8,-3.8,10.5,75.5
BER,20220210,124,0,-,959.7,8.3,521,5.3,-3.2,13.3,70.1
BER,20220211,97,0,-,963.1,1.5,323,3.2,-2.3,6.8,80.5
BER,20220212,126,0,-,961.7,0,493,-0.8,-5.4,4.4,78.4
BER,20220213,134,0,-,953.8,0,552,1.9,-4.4,8.9,69
BER,20220214,46,0,-,945.8,4.1,14,2.2,-3.3,7.2,80.9
BER,20220215,68,0,-,951.7,0.8,103,3.3,0.3,6.3,86
BER,20220216,21,0,-,950.3,4.7,0,4.2,1.4,11,89.2
BER,20220217,41,0,-,951.9,4.5,46,10.1,8.4,11.9,73.6
BER,20220218,83,0,-,948.8,5,83,9.3,3.9,16.1,66.7
BER,20220219,100,0,-,955.4,0,350,4.8,1.7,7.9,65.3
BER,20220220,87,0,-,955.9,2.6,106,6.8,2.8,9.8,57.2
BER,20220221,55,0,-,950,6.9,46,4.8,2.6,8.6,79.2
BER,20220222,82,0,-,959.9,0.3,88,5.4,2.1,8.9,75.1
BER,20220223,120,0,-,960.1,0,270,6.5,1,11.8,76.2
BER,20220224,92,0,-,954.4,0,126,5.4,-1.5,11.4,75.5
BER,20220225,167,0,-,961,0.8,472,3.3,-0.9,7.1,65.1
BER,20220226,169,0,-,963.3,0,605,2,-2.1,6.2,69
BER,20220227,171,0,-,960.9,0,609,0.4,-4.2,6,63.9
BER,20220228,169,0,-,962.3,0,615,1.4,-5.3,8.9,65.1
BER,20220301,166,0,-,960.4,0,567,1.7,-4.3,9.7,68.2
BER,20220302,141,0,-,956,0,360,3.2,-4.2,10,69.5
BER,20220303,170,0,-,950.8,0,604,4.4,-2.5,13,66.2
BER,20220304,179,0,-,950.6,0,618,2.1,-4.1,9.5,58.1
BER,20220305,181,0,-,951.2,0,629,0.3,-6.4,7.3,57.2
BER,20220306,175,0,-,952,0,613,-0.2,-5.3,5.5,62.4
BER,20220307,182,0,-,953.2,0,622,-0.1,-4.7,5.3,62.6
BER,20220308,182,0,-,954,0,567,0.1,-6.4,8.1,67.9
BER,20220309,183,0,-,957.5,0,631,2.8,-4.5,11.3,67.8
BER,20220310,188,0,-,956.7,0,632,3.7,-3.6,12.6,67.8
BER,20220311,150,0,-,952.2,0,386,4.8,-3.3,13,68.3
BER,20220312,169,0,-,952.3,0,500,7.4,2.3,13.4,59.5
BER,20220313,158,0,-,950.6,0.1,364,8.4,0.8,14.3,57.2
BER,20220314,195,0,-,961.2,5,597,7.6,1.2,13.5,69.5
BER,20220315,69,0,-,960,0.2,0,7.2,3.9,11.7,89.4
