,time,temp_Log_204,temp_Log_201,temp_Log_203,temp_Log_202
0,2022-07-09 00:00:00,18.996,20.329,20.71,20.329
1,2022-07-09 00:10:00,18.806,20.234,20.615,20.234
2,2022-07-09 00:20:00,18.616,20.043,20.615,20.138
3,2022-07-09 00:30:00,18.616,20.043,20.424,20.043
4,2022-07-09 00:40:00,18.426,19.948,20.329,19.853
5,2022-07-09 00:50:00,18.426,19.853,20.234,19.853
6,2022-07-09 01:00:00,18.331,19.853,20.234,19.853
7,2022-07-09 01:10:00,18.14,19.662,20.234,19.662
8,2022-07-09 01:20:00,18.14,19.282,20.138,19.282
9,2022-07-09 01:30:00,17.95,19.092,19.377,19.092
10,2022-07-09 01:40:00,17.76,19.187,19.377,19.187
11,2022-07-09 01:50:00,17.855,19.187,19.472,19.187
12,2022-07-09 02:00:00,17.665,19.092,19.377,19.092
13,2022-07-09 02:10:00,17.379,18.806,19.092,18.996
14,2022-07-09 02:20:00,17.189,18.616,18.806,18.806
15,2022-07-09 02:30:00,16.999,18.711,18.901,18.711
16,2022-07-09 02:40:00,16.808,18.521,18.806,18.521
17,2022-07-09 02:50:00,16.713,18.426,18.806,18.331
18,2022-07-09 03:00:00,16.713,18.331,18.616,18.331
19,2022-07-09 03:10:00,16.523,18.331,18.521,18.236
20,2022-07-09 03:20:00,16.332,18.14,18.426,18.236
21,2022-07-09 03:30:00,16.141,17.665,18.14,18.045
22,2022-07-09 03:40:00,15.855,17.189,17.855,17.57
23,2022-07-09 03:50:00,15.76,17.094,17.76,17.379
24,2022-07-09 04:00:00,15.664,17.189,17.855,17.284
25,2022-07-09 04:10:00,15.569,17.284,17.76,17.284
26,2022-07-09 04:20:00,15.664,17.379,17.76,17.189
27,2022-07-09 04:30:00,15.569,17.379,17.665,17.189
28,2022-07-09 04:40:00,15.569,17.284,17.475,17.094
29,2022-07-09 04:50:00,15.473,17.284,17.475,17.094
30,2022-07-09 05:00:00,15.473,17.189,17.475,17.094
31,2022-07-09 05:10:00,15.282,16.903,17.379,16.999
32,2022-07-09 05:20:00,15.187,16.903,17.284,16.999
33,2022-07-09 05:30:00,15.569,16.808,17.189,16.903
34,2022-07-09 05:40:00,15.378,16.808,16.999,16.618
35,2022-07-09 05:50:00,14.9,16.618,16.713,16.427
36,2022-07-09 06:00:00,14.421,16.332,16.427,16.237
37,2022-07-09 06:10:00,14.134,16.141,16.141,16.046
38,2022-07-09 06:20:00,13.942,16.046,15.951,16.046
39,2022-07-09 06:30:00,13.846,15.76,15.855,15.951
40,2022-07-09 06:40:00,13.942,15.855,16.141,15.951
41,2022-07-09 06:50:00,14.23,16.046,16.237,16.046
42,2022-07-09 07:00:00,14.517,16.237,16.141,16.237
43,2022-07-09 07:10:00,14.9,16.523,16.237,16.332
44,2022-07-09 07:20:00,15.282,16.713,16.237,16.523
45,2022-07-09 07:30:00,15.473,16.903,16.618,16.713
46,2022-07-09 07:40:00,15.855,17.094,16.808,16.999
47,2022-07-09 07:50:00,16.046,17.284,17.094,17.189
48,2022-07-09 08:00:00,16.237,17.475,17.379,17.379
49,2022-07-09 08:10:00,16.713,17.665,17.76,17.95
50,2022-07-09 08:20:00,16.999,18.045,18.045,18.996
51,2022-07-09 08:30:00,17.379,18.426,18.331,19.472
52,2022-07-09 08:40:00,17.855,19.187,18.616,20.043
53,2022-07-09 08:50:00,18.331,19.662,18.806,20.424
54,2022-07-09 09:00:00,18.711,20.138,19.187,20.329
55,2022-07-09 09:10:00,19.092,20.329,19.282,20.71
56,2022-07-09 09:20:00,19.662,20.71,19.662,20.996
57,2022-07-09 09:30:00,20.519,20.805,19.758,21.282
58,2022-07-09 09:40:00,20.901,21.091,19.948,21.473
59,2022-07-09 09:50:00,20.996,21.378,20.138,21.664
60,2022-07-09 10:00:00,21.378,21.855,20.138,22.238
61,2022-07-09 10:10:00,21.378,22.429,20.424,22.525
62,2022-07-09 10:20:00,22.621,22.525,20.901,22.908
63,2022-07-09 10:30:00,22.812,22.908,21.091,23.196
64,2022-07-09 10:40:00,22.908,23.196,21.378,23.773
65,2022-07-09 10:50:00,22.812,23.1,21.569,23.773
66,2022-07-09 11:00:00,23.004,23.388,21.855,23.869
67,2022-07-09 11:10:00,23.966,23.773,22.142,24.158
68,2022-07-09 11:20:00,24.158,24.158,22.717,24.255
69,2022-07-09 11:30:00,24.351,24.351,23.004,24.835
70,2022-07-09 11:40:00,24.641,24.641,23.292,25.61
71,2022-07-09 11:50:00,24.835,24.738,23.484,25.513
72,2022-07-09 12:00:00,24.931,24.641,23.581,25.902
73,2022-07-09 12:10:00,24.931,24.931,23.677,26.195
74,2022-07-09 12:20:00,25.319,25.513,24.062,26.488
75,2022-07-09 12:30:00,25.416,25.319,24.255,26.292
76,2022-07-09 12:40:00,25.61,25.416,24.835,26.097
77,2022-07-09 12:50:00,26.195,25.708,24.448,26.585
78,2022-07-09 13:00:00,26.292,25.61,24.931,26.097
79,2022-07-09 13:10:00,26.781,25.708,24.931,26.39
80,2022-07-09 13:20:00,27.272,26.0,25.125,26.585
81,2022-07-09 13:30:00,27.665,26.39,25.513,27.567
82,2022-07-09 13:40:00,27.173,26.585,25.708,27.272
83,2022-07-09 13:50:00,28.159,26.585,26.097,27.468
84,2022-07-09 14:00:00,28.258,27.075,26.39,27.173
85,2022-07-09 14:10:00,27.567,27.272,26.781,27.961
86,2022-07-09 14:20:00,27.37,27.37,26.781,28.357
87,2022-07-09 14:30:00,28.06,27.468,26.879,28.357
88,2022-07-09 14:40:00,28.754,27.665,27.37,27.764
89,2022-07-09 14:50:00,28.357,27.764,27.468,28.655
90,2022-07-09 15:00:00,28.555,28.258,26.879,28.754
91,2022-07-09 15:10:00,28.754,27.764,27.075,29.152
92,2022-07-09 15:20:00,28.159,27.961,27.665,28.555
93,2022-07-09 15:30:00,28.853,27.764,27.37,29.152
94,2022-07-09 15:40:00,29.252,28.06,27.665,29.152
95,2022-07-09 15:50:00,28.953,28.06,27.567,29.152
96,2022-07-09 16:00:00,29.053,28.06,27.764,28.853
97,2022-07-09 16:10:00,29.352,27.665,27.764,29.152
98,2022-07-09 16:20:00,29.053,27.764,27.862,28.555
99,2022-07-09 16:30:00,28.754,27.173,27.764,28.754
100,2022-07-09 16:40:00,29.352,26.879,27.764,28.953
101,2022-07-09 16:50:00,29.752,27.173,28.06,28.953
102,2022-07-09 17:00:00,29.853,26.879,27.862,28.953
103,2022-07-09 17:10:00,29.752,26.977,28.754,28.754
104,2022-07-09 17:20:00,30.054,27.173,29.252,28.953
105,2022-07-09 17:30:00,29.752,27.468,29.552,29.152
106,2022-07-09 17:40:00,29.953,27.37,29.552,29.152
107,2022-07-09 17:50:00,29.953,27.468,29.452,28.953
108,2022-07-09 18:00:00,30.154,27.567,29.752,28.456
109,2022-07-09 18:10:00,29.552,27.37,29.853,28.655
110,2022-07-09 18:20:00,28.953,27.075,29.352,28.456
111,2022-07-09 18:30:00,28.456,27.075,29.152,28.456
112,2022-07-09 18:40:00,28.258,27.075,28.853,28.258
113,2022-07-09 18:50:00,28.159,26.977,28.258,27.764
114,2022-07-09 19:00:00,28.456,26.683,28.555,27.961
115,2022-07-09 19:10:00,28.853,26.683,28.555,27.764
116,2022-07-09 19:20:00,29.053,26.585,28.953,27.862
117,2022-07-09 19:30:00,28.853,26.39,28.655,27.468
118,2022-07-09 19:40:00,27.862,26.292,28.357,27.173
119,2022-07-09 19:50:00,26.977,26.292,28.159,26.879
120,2022-07-09 20:00:00,26.488,26.097,27.862,26.488
121,2022-07-09 20:10:00,26.0,25.902,27.075,26.195
122,2022-07-09 20:20:00,25.319,25.61,26.683,25.61
123,2022-07-09 20:30:00,24.835,25.416,26.292,25.416
124,2022-07-09 20:40:00,24.448,25.028,26.0,25.028
125,2022-07-09 20:50:00,24.062,24.738,25.708,24.835
126,2022-07-09 21:00:00,23.677,24.641,25.805,24.545
127,2022-07-09 21:10:00,23.196,24.545,25.708,24.448
128,2022-07-09 21:20:00,22.812,24.545,25.61,24.158
129,2022-07-09 21:30:00,22.429,24.255,25.319,23.869
130,2022-07-09 21:40:00,22.046,23.869,25.028,23.581
131,2022-07-09 21:50:00,21.76,23.484,24.738,23.388
132,2022-07-09 22:00:00,21.473,23.292,24.545,23.196
133,2022-07-09 22:10:00,21.282,23.1,24.158,22.812
134,2022-07-09 22:20:00,21.091,22.812,23.773,22.621
135,2022-07-09 22:30:00,20.901,22.525,23.581,22.333
136,2022-07-09 22:40:00,20.805,22.525,23.484,22.142
137,2022-07-09 22:50:00,20.71,22.429,23.388,22.142
138,2022-07-09 23:00:00,20.615,21.951,23.484,22.046
139,2022-07-09 23:10:00,20.519,21.855,23.388,21.951
140,2022-07-09 23:20:00,20.519,21.855,23.1,21.76
141,2022-07-09 23:30:00,20.424,21.951,23.1,21.855
142,2022-07-09 23:40:00,20.424,22.046,23.1,21.855
143,2022-07-09 23:50:00,20.234,21.855,23.1,21.76
144,2022-07-10 00:00:00,20.043,21.664,22.812,21.569
145,2022-07-10 00:10:00,19.948,21.569,22.621,21.569
146,2022-07-10 00:20:00,19.948,21.473,22.525,21.569
147,2022-07-10 00:30:00,19.853,21.473,22.525,21.664
148,2022-07-10 00:40:00,19.662,21.187,22.429,21.378
149,2022-07-10 00:50:00,19.567,20.996,21.951,21.091
150,2022-07-10 01:00:00,19.377,20.901,21.569,20.901
151,2022-07-10 01:10:00,19.282,21.091,21.282,20.805
152,2022-07-10 01:20:00,19.092,21.282,21.187,20.805
153,2022-07-10 01:30:00,18.806,21.187,20.805,20.71
154,2022-07-10 01:40:00,18.711,20.71,20.615,20.519
155,2022-07-10 01:50:00,18.616,20.71,20.805,20.234
156,2022-07-10 02:00:00,18.616,20.996,20.71,20.043
157,2022-07-10 02:10:00,18.901,20.71,20.519,19.948
158,2022-07-10 02:20:00,18.996,20.138,20.519,19.758
159,2022-07-10 02:30:00,18.806,20.138,20.615,19.662
160,2022-07-10 02:40:00,18.616,19.948,20.519,19.567
161,2022-07-10 02:50:00,18.521,19.853,20.424,19.567
162,2022-07-10 03:00:00,18.426,19.758,20.234,19.758
