Zeit,Log_98_REF_ZOLL_2m,Log_99_ZOLL_3m
5/15/2018 0:00,10.651,10.651
5/15/2018 0:10,10.455,10.455
5/15/2018 0:20,9.965,9.965
5/15/2018 0:30,9.965,9.965
5/15/2018 0:40,9.965,9.965
5/15/2018 0:50,9.965,9.965
5/15/2018 1:00,9.965,9.965
5/15/2018 1:10,9.965,9.965
5/15/2018 1:20,9.866,9.965
5/15/2018 1:30,9.866,9.866
5/15/2018 1:40,9.768,9.768
5/15/2018 1:50,9.669,9.768
5/15/2018 2:00,9.669,9.768
5/15/2018 2:10,9.571,9.571
5/15/2018 2:20,9.571,9.669
5/15/2018 2:30,9.571,9.571
5/15/2018 2:40,9.472,9.472
5/15/2018 2:50,9.373,9.373
5/15/2018 3:00,9.373,9.373
5/15/2018 3:10,9.275,9.275
5/15/2018 3:20,9.275,9.275
5/15/2018 3:30,9.176,9.176
5/15/2018 3:40,9.176,9.176
5/15/2018 3:50,9.176,9.176
5/15/2018 4:00,9.077,9.077
5/15/2018 4:10,9.077,9.077
5/15/2018 4:20,9.077,9.077
5/15/2018 4:30,9.077,9.077
5/15/2018 4:40,9.077,9.077
5/15/2018 4:50,8.978,8.978
5/15/2018 5:00,8.879,8.978
5/15/2018 5:10,8.978,8.978
5/15/2018 5:20,8.978,8.978
5/15/2018 5:30,8.978,8.978
5/15/2018 5:40,8.978,8.978
5/15/2018 5:50,9.077,9.077
5/15/2018 6:00,9.077,9.077
5/15/2018 6:10,9.077,9.077
5/15/2018 6:20,9.077,9.077
5/15/2018 6:30,9.077,9.176
5/15/2018 6:40,9.176,9.176
5/15/2018 6:50,9.077,9.176
5/15/2018 7:00,9.176,9.176
5/15/2018 7:10,9.176,9.176
5/15/2018 7:20,9.275,9.275
5/15/2018 7:30,9.275,9.275
5/15/2018 7:40,9.275,9.275
5/15/2018 7:50,9.472,9.472
5/15/2018 8:00,9.571,9.571
5/15/2018 8:10,9.571,9.571
5/15/2018 8:20,9.571,9.472
5/15/2018 8:30,9.669,9.669
5/15/2018 8:40,9.768,9.768
5/15/2018 8:50,9.768,9.768
5/15/2018 9:00,9.669,9.669
5/15/2018 9:10,9.571,9.571
5/15/2018 9:20,9.472,9.571
5/15/2018 9:30,9.768,9.768
5/15/2018 9:40,10.161,10.161
5/15/2018 9:50,10.259,10.259
5/15/2018 10:00,10.259,10.259
5/15/2018 10:10,10.357,10.357
5/15/2018 10:20,10.651,10.651
5/15/2018 10:30,10.748,10.748
5/15/2018 10:40,10.944,10.846
5/15/2018 10:50,11.139,11.139
5/15/2018 11:00,11.528,11.528
5/15/2018 11:10,11.819,11.819
5/15/2018 11:20,11.916,11.916
5/15/2018 11:30,12.013,11.916
5/15/2018 11:40,11.916,11.916
5/15/2018 11:50,12.401,12.401
5/15/2018 12:00,13.269,13.173
5/15/2018 12:10,14.23,14.23
5/15/2018 12:20,14.038,13.846
5/15/2018 12:30,13.75,13.75
5/15/2018 12:40,13.75,13.75
5/15/2018 12:50,14.038,14.038
5/15/2018 13:00,15.664,15.473
5/15/2018 13:10,14.709,14.421
5/15/2018 13:20,14.421,14.134
5/15/2018 13:30,15.378,14.996
5/15/2018 13:40,15.378,15.187
5/15/2018 13:50,16.046,15.664
5/15/2018 14:00,15.569,15.282
5/15/2018 14:10,16.808,16.618
5/15/2018 14:20,16.427,16.332
5/15/2018 14:30,15.664,15.569
5/15/2018 14:40,15.187,14.996
5/15/2018 14:50,14.325,14.23
5/15/2018 15:00,13.942,13.942
5/15/2018 15:10,13.365,13.365
5/15/2018 15:20,12.401,12.497
5/15/2018 15:30,11.916,12.013
5/15/2018 15:40,11.431,11.528
5/15/2018 15:50,11.334,11.334
5/15/2018 16:00,11.431,11.528
5/15/2018 16:10,11.722,11.722
5/15/2018 16:20,12.11,12.11
5/15/2018 16:30,12.594,12.594
5/15/2018 16:40,12.69,12.69
5/15/2018 16:50,12.98,12.883
5/15/2018 17:00,13.461,13.365
5/15/2018 17:10,13.846,13.654
5/15/2018 17:20,14.134,13.942
5/15/2018 17:30,14.9,14.709
5/15/2018 17:40,14.421,14.134
5/15/2018 17:50,13.654,13.461
5/15/2018 18:00,13.269,13.173
