"Plot Title: Log_207"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 20162133, SEN S/N: 20162133)","Coupler Attached (LGR S/N: 20162133)","Host Connected (LGR S/N: 20162133)","Coupler Detached (LGR S/N: 20162133)","Stopped (LGR S/N: 20162133)","End Of File (LGR S/N: 20162133)"
1,14/08/22 12:10:00,23.484,,,,,
2,14/08/22 12:20:00,23.581,,,,,
3,14/08/22 12:30:00,23.581,,,,,
4,14/08/22 12:40:00,23.581,,,,,
5,14/08/22 12:50:00,23.388,,,,,
6,14/08/22 13:00:00,23.388,,,,,
7,14/08/22 13:10:00,23.292,,,,,
8,14/08/22 13:20:00,23.388,,,,,
9,14/08/22 13:30:00,23.581,,,,,
10,14/08/22 13:40:00,23.581,,,,,
11,14/08/22 13:50:00,24.062,,,,,
12,14/08/22 14:00:00,24.448,,,,,
13,14/08/22 14:10:00,24.835,,,,,
14,14/08/22 14:20:00,24.931,,,,,
15,14/08/22 14:30:00,24.738,,,,,
16,14/08/22 14:40:00,24.835,,,,,
17,14/08/22 14:50:00,24.931,,,,,
18,14/08/22 15:00:00,24.738,,,,,
19,14/08/22 15:10:00,24.738,,,,,
20,14/08/22 15:20:00,25.125,,,,,
21,14/08/22 15:30:00,24.931,,,,,
22,14/08/22 15:40:00,24.835,,,,,
23,14/08/22 15:50:00,25.028,,,,,
24,14/08/22 16:00:00,25.028,,,,,
25,14/08/22 16:10:00,24.448,,,,,
26,14/08/22 16:20:00,24.545,,,,,
27,14/08/22 16:30:00,23.966,,,,,
28,14/08/22 16:40:00,23.869,,,,,
29,14/08/22 16:50:00,23.773,,,,,
30,14/08/22 17:00:00,23.773,,,,,
31,14/08/22 17:10:00,23.773,,,,,
32,14/08/22 17:20:00,24.158,,,,,
33,14/08/22 17:30:00,24.158,,,,,
34,14/08/22 17:40:00,24.255,,,,,
35,14/08/22 17:50:00,24.158,,,,,
36,14/08/22 18:00:00,23.966,,,,,
37,14/08/22 18:10:00,23.869,,,,,
38,14/08/22 18:20:00,23.773,,,,,
39,14/08/22 18:30:00,23.677,,,,,
40,14/08/22 18:40:00,23.484,,,,,
41,14/08/22 18:50:00,23.773,,,,,
42,14/08/22 19:00:00,24.255,,,,,
43,14/08/22 19:10:00,23.773,,,,,
44,14/08/22 19:20:00,23.677,,,,,
45,14/08/22 19:30:00,23.484,,,,,
46,14/08/22 19:40:00,23.292,,,,,
47,14/08/22 19:50:00,23.196,,,,,
48,14/08/22 20:00:00,23.004,,,,,
49,14/08/22 20:10:00,22.812,,,,,
50,14/08/22 20:20:00,22.525,,,,,
51,14/08/22 20:30:00,22.238,,,,,
52,14/08/22 20:40:00,22.238,,,,,
53,14/08/22 20:50:00,22.142,,,,,
54,14/08/22 21:00:00,21.760,,,,,
55,14/08/22 21:10:00,21.855,,,,,
56,14/08/22 21:20:00,21.569,,,,,
57,14/08/22 21:30:00,21.569,,,,,
58,14/08/22 21:40:00,21.378,,,,,
59,14/08/22 21:50:00,21.187,,,,,
60,14/08/22 22:00:00,20.996,,,,,
61,14/08/22 22:10:00,20.615,,,,,
62,14/08/22 22:20:00,20.424,,,,,
63,14/08/22 22:30:00,20.234,,,,,
64,14/08/22 22:40:00,20.234,,,,,
65,14/08/22 22:50:00,20.043,,,,,
66,14/08/22 23:00:00,19.948,,,,,
67,14/08/22 23:10:00,19.282,,,,,
68,14/08/22 23:20:00,18.901,,,,,
69,14/08/22 23:30:00,18.616,,,,,
70,14/08/22 23:40:00,18.711,,,,,
71,14/08/22 23:50:00,18.806,,,,,
72,15/08/22 00:00:00,18.616,,,,,
73,15/08/22 00:10:00,18.426,,,,,
74,15/08/22 00:20:00,18.331,,,,,
75,15/08/22 00:30:00,18.140,,,,,
76,15/08/22 00:40:00,17.950,,,,,
77,15/08/22 00:50:00,17.760,,,,,
78,15/08/22 01:00:00,17.760,,,,,
79,15/08/22 01:10:00,17.760,,,,,
80,15/08/22 01:20:00,17.570,,,,,
81,15/08/22 01:30:00,17.284,,,,,
82,15/08/22 01:40:00,17.284,,,,,
83,15/08/22 01:50:00,17.189,,,,,
84,15/08/22 02:00:00,17.094,,,,,
85,15/08/22 02:10:00,16.808,,,,,
86,15/08/22 02:20:00,16.523,,,,,
87,15/08/22 02:30:00,16.427,,,,,
88,15/08/22 02:40:00,16.141,,,,,
89,15/08/22 02:50:00,16.046,,,,,
90,15/08/22 03:00:00,15.664,,,,,
91,15/08/22 03:10:00,15.664,,,,,
92,15/08/22 03:20:00,15.569,,,,,
93,15/08/22 03:30:00,15.282,,,,,
94,15/08/22 03:40:00,15.569,,,,,
95,15/08/22 03:50:00,15.473,,,,,
96,15/08/22 04:00:00,15.378,,,,,
97,15/08/22 04:10:00,15.282,,,,,
98,15/08/22 04:20:00,15.473,,,,,
99,15/08/22 04:30:00,15.473,,,,,
100,15/08/22 04:40:00,15.569,,,,,
101,15/08/22 04:50:00,15.187,,,,,
102,15/08/22 05:00:00,14.804,,,,,
103,15/08/22 05:10:00,14.613,,,,,
104,15/08/22 05:20:00,14.613,,,,,
105,15/08/22 05:30:00,14.709,,,,,
106,15/08/22 05:40:00,14.421,,,,,
107,15/08/22 05:50:00,14.325,,,,,
108,15/08/22 06:00:00,14.613,,,,,
109,15/08/22 06:10:00,14.517,,,,,
110,15/08/22 06:20:00,14.421,,,,,
111,15/08/22 06:30:00,14.421,,,,,
112,15/08/22 06:40:00,14.517,,,,,
113,15/08/22 06:50:00,14.325,,,,,
114,15/08/22 07:00:00,14.517,,,,,
115,15/08/22 07:10:00,14.804,,,,,
116,15/08/22 07:20:00,15.378,,,,,
117,15/08/22 07:30:00,15.664,,,,,
118,15/08/22 07:40:00,15.760,,,,,
119,15/08/22 07:50:00,15.855,,,,,
120,15/08/22 08:00:00,16.046,,,,,
121,15/08/22 08:10:00,16.618,,,,,
122,15/08/22 08:20:00,17.760,,,,,
123,15/08/22 08:30:00,18.806,,,,,
124,15/08/22 08:40:00,19.377,,,,,
125,15/08/22 08:50:00,19.853,,,,,
126,15/08/22 09:00:00,20.329,,,,,
127,15/08/22 09:10:00,19.662,,,,,
128,15/08/22 09:20:00,19.758,,,,,
